date,away,away score,home,home score,winner
2019-03-23T01:00:00.000Z,Atlanta Reign,1,Philadelphia Fusion,3,Philadelphia Fusion
2019-02-16T02:10:00.000Z,Atlanta Reign,4,Florida Mayhem,0,Atlanta Reign
2019-02-17T22:00:00.000Z,Philadelphia Fusion,3,Atlanta Reign,2,Philadelphia Fusion
2019-02-23T00:00:00.000Z,Atlanta Reign,3,Toronto Defiant,1,Atlanta Reign
2019-03-02T20:00:00.000Z,Paris Eternal,0,Atlanta Reign,4,Atlanta Reign
2019-03-08T01:30:00.000Z,Atlanta Reign,0,Los Angeles Gladiators,4,Los Angeles Gladiators
2019-03-17T00:25:00.000Z,Atlanta Reign,2,Chengdu Hunters,3,Chengdu Hunters
2019-03-17T22:45:00.000Z,Houston Outlaws,1,Atlanta Reign,3,Atlanta Reign
2019-04-05T00:25:00.000Z,Boston Uprising,3,Atlanta Reign,2,Boston Uprising
2019-04-07T20:35:00.000Z,Atlanta Reign,0,London Spitfire,4,London Spitfire
2019-04-12T23:00:00.000Z,Los Angeles Valiant,3,Atlanta Reign,2,Los Angeles Valiant
2019-04-14T20:40:00.000Z,Atlanta Reign,3,Washington Justice,1,Atlanta Reign
2019-04-19T23:00:00.000Z,New York Excelsior,1,Atlanta Reign,3,Atlanta Reign
2019-04-22T00:00:00.000Z,Atlanta Reign,1,Guangzhou Charge,3,Guangzhou Charge
2019-05-04T20:25:00.000Z,Atlanta Reign,3,New York Excelsior,2,Atlanta Reign
2019-06-06T23:00:00.000Z,San Francisco Shock,3,Atlanta Reign,2,San Francisco Shock
2019-06-08T20:25:00.000Z,Vancouver Titans,3,Atlanta Reign,1,Vancouver Titans
2019-06-14T00:25:00.000Z,Shanghai Dragons,3,Atlanta Reign,2,Shanghai Dragons
2019-06-15T20:20:00.000Z,Seoul Dynasty,4,Atlanta Reign,0,Seoul Dynasty
2019-06-22T20:45:00.000Z,Atlanta Reign,2,Philadelphia Fusion,3,Philadelphia Fusion
2019-07-06T19:00:00.000Z,Toronto Defiant,1,Atlanta Reign,3,Atlanta Reign
2019-07-07T20:15:00.000Z,Florida Mayhem,0,Atlanta Reign,4,Atlanta Reign
2019-07-28T00:15:00.000Z,Atlanta Reign,0,Hangzhou Spark,0,N/A
2019-08-03T19:00:00.000Z,Atlanta Reign,0,Paris Eternal,0,N/A
2019-08-04T19:00:00.000Z,Atlanta Reign,0,Houston Outlaws,0,N/A
2019-08-16T23:00:00.000Z,Washington Justice,0,Atlanta Reign,0,N/A
2019-08-18T19:00:00.000Z,London Spitfire,0,Atlanta Reign,0,N/A
2019-08-24T21:00:00.000Z,Atlanta Reign,0,Dallas Fuel,0,N/A
2019-08-25T20:45:00.000Z,Atlanta Reign,0,Boston Uprising,0,N/A
2019-03-22T02:55:00.000Z,Boston Uprising,0,Vancouver Titans,3,Vancouver Titans
2019-02-15T01:40:00.000Z,New York Excelsior,2,Boston Uprising,1,New York Excelsior
2019-02-17T20:00:00.000Z,Houston Outlaws,2,Boston Uprising,3,Boston Uprising
2019-02-23T03:25:00.000Z,Shanghai Dragons,3,Boston Uprising,1,Shanghai Dragons
2019-03-01T01:35:00.000Z,Seoul Dynasty,1,Boston Uprising,3,Boston Uprising
2019-03-03T20:00:00.000Z,Boston Uprising,1,Toronto Defiant,3,Toronto Defiant
2019-03-10T22:15:00.000Z,Florida Mayhem,0,Boston Uprising,4,Boston Uprising
